timestamp,x_vel,y_vel,vel,x_accel,y_accel,accel
0,373.7980041503906,41.6738395690918,0.0,373.7980041503906,41.6738395690918,0.0
0.04,186.71688842773438,21.153972625732422,6.72,-187.08111572265625,-20.519866943359375,6.73
0.056,185.8290557861328,23.257186889648438,16.28,-0.8878326416015625,2.1032142639160156,0.2
0.085,-1.8990020751953125,3.1630802154541016,0.18,-187.72805786132812,-20.094106674194336,9.15
0.122,-1.904388427734375,3.221027374267578,0.15,-0.0053863525390625,0.05794715881347656,0.0
0.17,-2.261749267578125,3.066129684448242,0.11,-0.35736083984375,-0.15489768981933594,0.01
0.197,-1.7592620849609375,4.86805534362793,0.28,0.5024871826171875,1.8019256591796875,0.1
0.216,-2.0245513916015625,4.766231536865234,0.39,-0.265289306640625,-0.10182380676269531,0.02
0.23,-1.5673065185546875,1.4266834259033203,0.22,0.457244873046875,-3.339548110961914,0.35
0.244,-2.677337646484375,-1.016469955444336,0.3,-1.1100311279296875,-2.4431533813476562,0.28
0.256,-4.1417236328125,-0.5799102783203125,0.49,-1.464385986328125,0.43655967712402344,0.18
0.269,-4.33050537109375,1.805084228515625,0.54,-0.18878173828125,2.3849945068359375,0.28
0.283,-3.204315185546875,2.0876197814941406,0.38,1.126190185546875,0.2825355529785156,0.12
0.298,-1.125,1.6056537628173828,0.19,2.079315185546875,-0.4819660186767578,0.21
0.31,0.778778076171875,-0.45163536071777344,0.1,1.903778076171875,-2.0572891235351562,0.32
0.322,0.6409149169921875,-0.9392051696777344,0.13,-0.1378631591796875,-0.48756980895996094,0.06
0.334,0.4787750244140625,-1.4169750213623047,0.18,-0.162139892578125,-0.4777698516845703,0.06
0.347,0.02752685546875,-0.25667381286621094,0.03,-0.4512481689453125,1.1603012084960938,0.14
0.36,0.566650390625,0.5244274139404297,0.08,0.53912353515625,0.7811012268066406,0.1
0.373,0.306610107421875,-0.8673343658447266,0.1,-0.260040283203125,-1.3917617797851562,0.16
0.386,14.239242553710938,-0.2662067413330078,1.69,13.932632446289062,0.6011276245117188,1.66
0.398,36.91680908203125,5.743955612182617,5.23,22.677566528320312,6.010162353515625,3.28
0.412,61.65342712402344,29.030244827270508,7.37,24.736618041992188,23.28628921508789,3.67
0.424,70.84840393066406,68.2520580291748,14.82,9.194976806640625,39.2218132019043,6.07
0.437,-197.73345947265625,218.73161697387695,187.42,-268.5818634033203,150.47955894470215,195.69
0.45,-225.7100372314453,288.3370895385742,269.0,-27.976577758789062,69.60547256469727,55.11
0.464,-244.81344604492188,225.91737365722656,98.53,-19.103408813476562,-62.419715881347656,19.31
0.476,0.0,79.0,43.5,244.81344604492188,-146.91737365722656,157.22
0.489,363.6014099121094,150.73089599609375,32.07,363.6014099121094,71.73089599609375,30.19
0.501,376.2939147949219,124.52377319335938,57.0,12.6925048828125,-26.207122802734375,4.19
0.514,400.19488525390625,68.78564453125,65.49,23.900970458984375,-55.738128662109375,9.78
0.526,59.897918701171875,-122.10012817382812,20.03,-340.2969665527344,-190.88577270507812,57.47
0.54,61.956085205078125,-88.27377319335938,13.74,2.05816650390625,33.82635498046875,4.32
0.553,59.142608642578125,-43.498138427734375,9.95,-2.8134765625,44.775634765625,6.08
0.567,59.2099609375,-2.20635986328125,7.24,0.067352294921875,41.291778564453125,5.05
0.58,59.34417724609375,40.575531005859375,10.1,0.13421630859375,42.781890869140625,6.01
0.595,58.962493896484375,87.76248168945312,11.42,-0.381683349609375,47.18695068359375,5.1
0.608,56.166015625,115.70370483398438,15.01,-2.796478271484375,27.94122314453125,3.28
0.623,49.7381591796875,57.3817138671875,6.6,-6.4278564453125,-58.321990966796875,5.1
0.637,43.30523681640625,-5.075469970703125,5.36,-6.43292236328125,-62.457183837890625,7.72
0.65,37.8182373046875,-52.466827392578125,7.62,-5.48699951171875,-47.391357421875,5.62
0.663,38.54730224609375,-12.827606201171875,5.17,0.72906494140625,39.63922119140625,5.05
0.675,34.144775390625,23.525482177734375,4.19,-4.40252685546875,36.35308837890625,3.7
0.688,36.52880859375,43.02301025390625,6.13,2.384033203125,19.497528076171875,2.14
0.701,34.2513427734375,20.09417724609375,4.6,-2.2774658203125,-22.9288330078125,2.67
0.714,36.098876953125,-0.765106201171875,4.18,1.8475341796875,-20.859283447265625,2.42
0.727,34.77764892578125,-2.434295654296875,3.47,-1.32122802734375,-1.669189453125,0.21
0.739,38.7398681640625,7.5257568359375,4.68,3.96221923828125,9.960052490234375,1.27
0.751,32.2823486328125,10.18963623046875,4.09,-6.45751953125,2.66387939453125,0.84
0.764,29.05389404296875,-0.577362060546875,3.35,-3.22845458984375,-10.766998291015625,1.3
0.777,24.1165771484375,3.691925048828125,2.88,-4.93731689453125,4.269287109375,0.77
0.789,29.8624267578125,1.260589599609375,3.49,5.745849609375,-2.43133544921875,0.73
0.801,32.95269775390625,-0.422637939453125,3.9,3.09027099609375,-1.6832275390625,0.42
0.814,26.54412841796875,-1.7701416015625,3.03,-6.4085693359375,-1.347503662109375,0.75
0.825,24.099365234375,-3.063018798828125,3.3,-2.44476318359375,-1.292877197265625,0.38
0.837,18.33294677734375,-3.592071533203125,2.42,-5.76641845703125,-0.529052734375,0.75
0.85,20.21844482421875,-2.671356201171875,2.36,1.885498046875,0.92071533203125,0.24
0.863,22.0269775390625,-2.432098388671875,2.48,1.80853271484375,0.2392578125,0.2
0.874,20.529541015625,-1.883056640625,2.67,-1.4974365234375,0.549041748046875,0.21
0.886,16.48663330078125,-3.452301025390625,2.11,-4.04290771484375,-1.569244384765625,0.54
0.899,11.79571533203125,-1.406036376953125,1.4,-4.69091796875,2.0462646484375,0.6
0.911,10.46533203125,-1.01080322265625,1.3,-1.33038330078125,0.395233154296875,0.17
0.923,12.73956298828125,-0.369140625,1.55,2.27423095703125,0.64166259765625,0.29
0.935,12.15374755859375,-2.106201171875,1.58,-0.5858154296875,-1.737060546875,0.23
0.947,9.5328369140625,-2.78619384765625,1.29,-2.62091064453125,-0.67999267578125,0.35
0.958,6.06280517578125,-0.99542236328125,0.79,-3.47003173828125,1.790771484375,0.5
0.971,3.74957275390625,0.042572021484375,0.44,-2.313232421875,1.037994384765625,0.3
0.984,3.07391357421875,0.316253662109375,0.36,-0.6756591796875,0.273681640625,0.08
0.996,3.130615234375,-1.44207763671875,0.41,0.05670166015625,-1.758331298828125,0.21
